Raw Filename,SamplerType,windowSize,sample_size ,parallel_count,cluster_centers,time taken
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=31.'] time: 0.3161149024963379",WillsSampler,30,30,16,31,0.3161149025
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=41.'] time: 0.42038702964782715",WillsSampler,30,30,16,41,0.4203870296
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=51.'] time: 0.4904208183288574",WillsSampler,30,30,16,51,0.4904208183
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=6.'] time: 0.10258674621582031",WillsSampler,30,30,16,6,0.1025867462
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=16.'] time: 0.0961463451385498",WillsSampler,30,30,16,0,0.09614634514
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=1.'] time: 0.062352895736694336",WillsSampler,30,40,1,1,0.06235289574
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=11.'] time: 0.1389467716217041",WillsSampler,30,40,1,11,0.1389467716
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=16.'] time: 0.18221306800842285",WillsSampler,30,40,1,16,0.182213068
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=21.'] time: 0.26911377906799316",WillsSampler,30,40,1,21,0.2691137791
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=31.'] time: 0.3026139736175537",WillsSampler,30,40,1,31,0.3026139736
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=41.'] time: 0.38317108154296875",WillsSampler,30,40,1,41,0.3831710815
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=51.'] time: 0.46075010299682617",WillsSampler,30,40,1,51,0.460750103
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=6.'] time: 0.12620902061462402",WillsSampler,30,40,1,6,0.1262090206
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=1.'] time: 0.32198190689086914",WillsSampler,30,40,1,0,0.3219819069
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=1.'] time: 0.05323028564453125",WillsSampler,30,40,2,1,0.05323028564
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=11.'] time: 0.1334090232849121",WillsSampler,30,40,2,11,0.1334090233
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=16.'] time: 0.281160831451416",WillsSampler,30,40,2,16,0.2811608315
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=21.'] time: 0.21878600120544434",WillsSampler,30,40,2,21,0.2187860012
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=31.'] time: 0.3150029182434082",WillsSampler,30,40,2,31,0.3150029182
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=41.'] time: 0.42276978492736816",WillsSampler,30,40,2,41,0.4227697849
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=51.'] time: 0.5221002101898193",WillsSampler,30,40,2,51,0.5221002102
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=6.'] time: 0.09745597839355469",WillsSampler,30,40,2,6,0.09745597839
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=2.'] time: 0.16328191757202148",WillsSampler,30,40,2,0,0.1632819176
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=1.'] time: 0.0805051326751709",WillsSampler,30,40,4,1,0.08050513268
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=11.'] time: 0.14690494537353516",WillsSampler,30,40,4,11,0.1469049454
"WillsSampler.w=30.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=16.'] time: 0.1874701976776123",WillsSampler,30,40,4,16,0.1874701977
