Raw Filename,SamplerType,windowSize,sample_size ,parallel_count,cluster_centers,time taken
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=31.'] time: 0.5815079212188721",WillsSampler,50,30,16,31,0.5815079212
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=41.'] time: 0.5997300148010254",WillsSampler,50,30,16,41,0.5997300148
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=51.'] time: 0.6976079940795898",WillsSampler,50,30,16,51,0.6976079941
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=6.'] time: 0.14423418045043945",WillsSampler,50,30,16,6,0.1442341805
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=16.'] time: 0.11855578422546387",WillsSampler,50,30,16,0,0.1185557842
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=1.'] time: 0.057859182357788086",WillsSampler,50,40,1,1,0.05785918236
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=11.'] time: 0.3565948009490967",WillsSampler,50,40,1,11,0.3565948009
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=16.'] time: 0.2581181526184082",WillsSampler,50,40,1,16,0.2581181526
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=21.'] time: 0.3502006530761719",WillsSampler,50,40,1,21,0.3502006531
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=31.'] time: 0.4418020248413086",WillsSampler,50,40,1,31,0.4418020248
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=41.'] time: 0.5373070240020752",WillsSampler,50,40,1,41,0.537307024
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=51.'] time: 0.716223955154419",WillsSampler,50,40,1,51,0.7162239552
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=6.'] time: 0.24631190299987793",WillsSampler,50,40,1,6,0.246311903
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=1.'] time: 0.6367878913879395",WillsSampler,50,40,1,0,0.6367878914
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=1.'] time: 0.05569601058959961",WillsSampler,50,40,2,1,0.05569601059
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=11.'] time: 0.18186378479003906",WillsSampler,50,40,2,11,0.1818637848
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=16.'] time: 0.26594996452331543",WillsSampler,50,40,2,16,0.2659499645
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=21.'] time: 0.3726069927215576",WillsSampler,50,40,2,21,0.3726069927
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=31.'] time: 0.595515251159668",WillsSampler,50,40,2,31,0.5955152512
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=41.'] time: 1.162355899810791",WillsSampler,50,40,2,41,1.1623559
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=51.'] time: 0.7358620166778564",WillsSampler,50,40,2,51,0.7358620167
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=6.'] time: 0.12679100036621094",WillsSampler,50,40,2,6,0.1267910004
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=2.'] time: 0.3276658058166504",WillsSampler,50,40,2,0,0.3276658058
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=1.'] time: 0.0628206729888916",WillsSampler,50,40,4,1,0.06282067299
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=11.'] time: 0.21387004852294922",WillsSampler,50,40,4,11,0.2138700485
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=16.'] time: 0.25661396980285645",WillsSampler,50,40,4,16,0.2566139698
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=21.'] time: 0.35626792907714844",WillsSampler,50,40,4,21,0.3562679291
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=31.'] time: 0.4677281379699707",WillsSampler,50,40,4,31,0.467728138
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=41.'] time: 0.5792279243469238",WillsSampler,50,40,4,41,0.5792279243
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=51.'] time: 0.7224669456481934",WillsSampler,50,40,4,51,0.7224669456
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=6.'] time: 0.12295222282409668",WillsSampler,50,40,4,6,0.1229522228
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=4.'] time: 0.17782974243164062",WillsSampler,50,40,4,0,0.1778297424
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=1.'] time: 0.08362698554992676",WillsSampler,50,40,8,1,0.08362698555
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=11.'] time: 0.1980137825012207",WillsSampler,50,40,8,11,0.1980137825
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=16.'] time: 0.24861407279968262",WillsSampler,50,40,8,16,0.2486140728
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=21.'] time: 0.32849788665771484",WillsSampler,50,40,8,21,0.3284978867
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=31.'] time: 0.45163702964782715",WillsSampler,50,40,8,31,0.4516370296
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=41.'] time: 0.5567972660064697",WillsSampler,50,40,8,41,0.556797266
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=51.'] time: 1.1467289924621582",WillsSampler,50,40,8,51,1.146728992
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=6.'] time: 0.16853785514831543",WillsSampler,50,40,8,6,0.1685378551
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=8.'] time: 0.10683488845825195",WillsSampler,50,40,8,0,0.1068348885
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=1.'] time: 0.08862018585205078",WillsSampler,50,40,16,1,0.08862018585
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=11.'] time: 0.20449304580688477",WillsSampler,50,40,16,11,0.2044930458
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=16.'] time: 0.2596738338470459",WillsSampler,50,40,16,16,0.2596738338
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=21.'] time: 0.31399083137512207",WillsSampler,50,40,16,21,0.3139908314
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=31.'] time: 0.43290114402770996",WillsSampler,50,40,16,31,0.432901144
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=41.'] time: 0.5793399810791016",WillsSampler,50,40,16,41,0.5793399811
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=51.'] time: 0.7200019359588623",WillsSampler,50,40,16,51,0.720001936
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=6.'] time: 0.13135981559753418",WillsSampler,50,40,16,6,0.1313598156
"WillsSampler.w=50.['sample_size=40.', 'parallel_count=16.'] time: 0.10230183601379395",WillsSampler,50,40,16,0,0.102301836
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=1.', 'cluster_centers=1.'] time: 0.05530595779418945",WillsSampler,50,60,1,1,0.05530595779
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=1.', 'cluster_centers=11.'] time: 0.21246075630187988",WillsSampler,50,60,1,11,0.2124607563
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=1.', 'cluster_centers=16.'] time: 0.2380979061126709",WillsSampler,50,60,1,16,0.2380979061
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=1.', 'cluster_centers=21.'] time: 0.3350522518157959",WillsSampler,50,60,1,21,0.3350522518
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=1.', 'cluster_centers=31.'] time: 0.41959500312805176",WillsSampler,50,60,1,31,0.4195950031
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=1.', 'cluster_centers=41.'] time: 0.7252161502838135",WillsSampler,50,60,1,41,0.7252161503
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=1.', 'cluster_centers=51.'] time: 1.0107667446136475",WillsSampler,50,60,1,51,1.010766745
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=1.', 'cluster_centers=6.'] time: 0.14178204536437988",WillsSampler,50,60,1,6,0.1417820454
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=1.'] time: 0.7159969806671143",WillsSampler,50,60,1,0,0.7159969807
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=2.', 'cluster_centers=1.'] time: 0.0763251781463623",WillsSampler,50,60,2,1,0.07632517815
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=2.', 'cluster_centers=11.'] time: 0.19270706176757812",WillsSampler,50,60,2,11,0.1927070618
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=2.', 'cluster_centers=16.'] time: 0.27030110359191895",WillsSampler,50,60,2,16,0.2703011036
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=2.', 'cluster_centers=21.'] time: 0.3297300338745117",WillsSampler,50,60,2,21,0.3297300339
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=2.', 'cluster_centers=31.'] time: 0.5249667167663574",WillsSampler,50,60,2,31,0.5249667168
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=2.', 'cluster_centers=41.'] time: 0.7071428298950195",WillsSampler,50,60,2,41,0.7071428299
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=2.', 'cluster_centers=51.'] time: 0.6844210624694824",WillsSampler,50,60,2,51,0.6844210625
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=2.', 'cluster_centers=6.'] time: 0.1566939353942871",WillsSampler,50,60,2,6,0.1566939354
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=2.'] time: 0.281724214553833",WillsSampler,50,60,2,0,0.2817242146
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=4.', 'cluster_centers=1.'] time: 0.06030988693237305",WillsSampler,50,60,4,1,0.06030988693
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=4.', 'cluster_centers=11.'] time: 0.24622893333435059",WillsSampler,50,60,4,11,0.2462289333
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=4.', 'cluster_centers=16.'] time: 0.3383347988128662",WillsSampler,50,60,4,16,0.3383347988
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=4.', 'cluster_centers=21.'] time: 0.350247859954834",WillsSampler,50,60,4,21,0.35024786
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=4.', 'cluster_centers=31.'] time: 0.5147037506103516",WillsSampler,50,60,4,31,0.5147037506
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=4.', 'cluster_centers=41.'] time: 0.6014919281005859",WillsSampler,50,60,4,41,0.6014919281
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=4.', 'cluster_centers=51.'] time: 0.718580961227417",WillsSampler,50,60,4,51,0.7185809612
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=4.', 'cluster_centers=6.'] time: 0.12668275833129883",WillsSampler,50,60,4,6,0.1266827583
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=4.'] time: 0.19068074226379395",WillsSampler,50,60,4,0,0.1906807423
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=8.', 'cluster_centers=1.'] time: 0.07406330108642578",WillsSampler,50,60,8,1,0.07406330109
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=8.', 'cluster_centers=11.'] time: 0.1921238899230957",WillsSampler,50,60,8,11,0.1921238899
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=8.', 'cluster_centers=16.'] time: 0.26776599884033203",WillsSampler,50,60,8,16,0.2677659988
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=8.', 'cluster_centers=21.'] time: 0.305988073348999",WillsSampler,50,60,8,21,0.3059880733
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=8.', 'cluster_centers=31.'] time: 0.42538022994995117",WillsSampler,50,60,8,31,0.4253802299
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=8.', 'cluster_centers=41.'] time: 0.5728240013122559",WillsSampler,50,60,8,41,0.5728240013
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=8.', 'cluster_centers=51.'] time: 0.7717688083648682",WillsSampler,50,60,8,51,0.7717688084
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=8.', 'cluster_centers=6.'] time: 0.11944794654846191",WillsSampler,50,60,8,6,0.1194479465
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=8.'] time: 0.12610888481140137",WillsSampler,50,60,8,0,0.1261088848
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=16.', 'cluster_centers=1.'] time: 0.06847310066223145",WillsSampler,50,60,16,1,0.06847310066
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=16.', 'cluster_centers=11.'] time: 0.18451309204101562",WillsSampler,50,60,16,11,0.184513092
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=16.', 'cluster_centers=16.'] time: 0.41295528411865234",WillsSampler,50,60,16,16,0.4129552841
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=16.', 'cluster_centers=21.'] time: 0.3914339542388916",WillsSampler,50,60,16,21,0.3914339542
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=16.', 'cluster_centers=31.'] time: 0.5368759632110596",WillsSampler,50,60,16,31,0.5368759632
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=16.', 'cluster_centers=41.'] time: 0.654364824295044",WillsSampler,50,60,16,41,0.6543648243
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=16.', 'cluster_centers=51.'] time: 0.7939009666442871",WillsSampler,50,60,16,51,0.7939009666
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=16.', 'cluster_centers=6.'] time: 0.14720416069030762",WillsSampler,50,60,16,6,0.1472041607
"WillsSampler.w=50.['sample_size=60.', 'parallel_count=16.'] time: 0.11101913452148438",WillsSampler,50,60,16,0,0.1110191345
VaasInterchangeHopping_Sampler.w=50.['sample_size=30.'] time: 0.7135839462280273,Ideal Sampler,50,30,0,0,0.7135839462
VaasInterchangeHopping_Sampler.w=50.['sample_size=40.'] time: 0.8003509044647217,Ideal Sampler,50,40,0,0,0.8003509045
VaasInterchangeHopping_Sampler.w=50.['sample_size=60.'] time: 0.7703988552093506,Ideal Sampler,50,60,0,0,0.7703988552
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=1.'] time: 0.09104776382446289",WillsSampler,100,30,1,1,0.09104776382
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=11.'] time: 0.37352776527404785",WillsSampler,100,30,1,11,0.3735277653
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=16.'] time: 0.4548969268798828",WillsSampler,100,30,1,16,0.4548969269
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=21.'] time: 0.6088910102844238",WillsSampler,100,30,1,21,0.6088910103
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=31.'] time: 1.001065969467163",WillsSampler,100,30,1,31,1.001065969
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=41.'] time: 1.2619452476501465",WillsSampler,100,30,1,41,1.261945248
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=51.'] time: 1.507796049118042",WillsSampler,100,30,1,51,1.507796049
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=6.'] time: 0.25489377975463867",WillsSampler,100,30,1,6,0.2548937798
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=1.'] time: 1.5274932384490967",WillsSampler,100,30,1,0,1.527493238
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=1.'] time: 0.09458780288696289",WillsSampler,100,30,2,1,0.09458780289
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=11.'] time: 0.3915061950683594",WillsSampler,100,30,2,11,0.3915061951
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=16.'] time: 0.5116188526153564",WillsSampler,100,30,2,16,0.5116188526
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=21.'] time: 0.643740177154541",WillsSampler,100,30,2,21,0.6437401772
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=31.'] time: 0.9791979789733887",WillsSampler,100,30,2,31,0.979197979
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=41.'] time: 1.2315001487731934",WillsSampler,100,30,2,41,1.231500149
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=51.'] time: 1.482666015625",WillsSampler,100,30,2,51,1.482666016
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=6.'] time: 0.245741605758667",WillsSampler,100,30,2,6,0.2457416058
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=2.'] time: 1.3034889698028564",WillsSampler,100,30,2,0,1.30348897
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=1.'] time: 0.09842371940612793",WillsSampler,100,30,4,1,0.09842371941
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=11.'] time: 0.39815807342529297",WillsSampler,100,30,4,11,0.3981580734
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=16.'] time: 0.4873631000518799",WillsSampler,100,30,4,16,0.4873631001
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=21.'] time: 0.7030391693115234",WillsSampler,100,30,4,21,0.7030391693
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=31.'] time: 0.8772459030151367",WillsSampler,100,30,4,31,0.877245903
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=41.'] time: 1.1023218631744385",WillsSampler,100,30,4,41,1.102321863
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=51.'] time: 1.6061558723449707",WillsSampler,100,30,4,51,1.606155872
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=6.'] time: 0.2429370880126953",WillsSampler,100,30,4,6,0.242937088
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=4.'] time: 0.9279956817626953",WillsSampler,100,30,4,0,0.9279956818
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=8.', 'cluster_centers=1.'] time: 0.0955207347869873",WillsSampler,100,30,8,1,0.09552073479
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=8.', 'cluster_centers=11.'] time: 0.3991889953613281",WillsSampler,100,30,8,11,0.3991889954
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=8.', 'cluster_centers=16.'] time: 0.5659058094024658",WillsSampler,100,30,8,16,0.5659058094
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=8.', 'cluster_centers=21.'] time: 0.6061639785766602",WillsSampler,100,30,8,21,0.6061639786
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=8.', 'cluster_centers=31.'] time: 0.8585259914398193",WillsSampler,100,30,8,31,0.8585259914
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=8.', 'cluster_centers=41.'] time: 1.1565361022949219",WillsSampler,100,30,8,41,1.156536102
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=8.', 'cluster_centers=51.'] time: 1.5017311573028564",WillsSampler,100,30,8,51,1.501731157
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=8.', 'cluster_centers=6.'] time: 0.1912379264831543",WillsSampler,100,30,8,6,0.1912379265
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=8.'] time: 0.3195018768310547",WillsSampler,100,30,8,0,0.3195018768
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=1.'] time: 0.1601569652557373",WillsSampler,100,30,16,1,0.1601569653
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=11.'] time: 0.32333898544311523",WillsSampler,100,30,16,11,0.3233389854
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=16.'] time: 0.6226859092712402",WillsSampler,100,30,16,16,0.6226859093
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=21.'] time: 0.8458712100982666",WillsSampler,100,30,16,21,0.8458712101
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=31.'] time: 0.8981199264526367",WillsSampler,100,30,16,31,0.8981199265
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=41.'] time: 1.1372249126434326",WillsSampler,100,30,16,41,1.137224913
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=51.'] time: 1.3463048934936523",WillsSampler,100,30,16,51,1.346304893
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=6.'] time: 0.32668614387512207",WillsSampler,100,30,16,6,0.3266861439
"WillsSampler.w=100.['sample_size=30.', 'parallel_count=16.'] time: 0.2078721523284912",WillsSampler,100,30,16,0,0.2078721523
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=1.'] time: 0.07549285888671875",WillsSampler,100,40,1,1,0.07549285889
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=11.'] time: 0.3254852294921875",WillsSampler,100,40,1,11,0.3254852295
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=16.'] time: 0.4238290786743164",WillsSampler,100,40,1,16,0.4238290787
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=21.'] time: 0.545403003692627",WillsSampler,100,40,1,21,0.5454030037
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=31.'] time: 0.7809243202209473",WillsSampler,100,40,1,31,0.7809243202
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=41.'] time: 1.659182071685791",WillsSampler,100,40,1,41,1.659182072
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=51.'] time: 1.2436621189117432",WillsSampler,100,40,1,51,1.243662119
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=1.', 'cluster_centers=6.'] time: 0.27240800857543945",WillsSampler,100,40,1,6,0.2724080086
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=1.'] time: 1.995516061782837",WillsSampler,100,40,1,0,1.995516062
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=1.'] time: 0.10056591033935547",WillsSampler,100,40,2,1,0.1005659103
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=11.'] time: 0.3447558879852295",WillsSampler,100,40,2,11,0.344755888
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=16.'] time: 0.4954547882080078",WillsSampler,100,40,2,16,0.4954547882
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=21.'] time: 0.5638349056243896",WillsSampler,100,40,2,21,0.5638349056
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=31.'] time: 0.9680449962615967",WillsSampler,100,40,2,31,0.9680449963
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=41.'] time: 1.141601800918579",WillsSampler,100,40,2,41,1.141601801
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=51.'] time: 1.2959020137786865",WillsSampler,100,40,2,51,1.295902014
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=2.', 'cluster_centers=6.'] time: 0.3331587314605713",WillsSampler,100,40,2,6,0.3331587315
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=2.'] time: 1.3508789539337158",WillsSampler,100,40,2,0,1.350878954
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=1.'] time: 0.10861706733703613",WillsSampler,100,40,4,1,0.1086170673
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=11.'] time: 0.3814961910247803",WillsSampler,100,40,4,11,0.381496191
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=16.'] time: 0.461514949798584",WillsSampler,100,40,4,16,0.4615149498
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=21.'] time: 0.7109987735748291",WillsSampler,100,40,4,21,0.7109987736
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=31.'] time: 0.9322781562805176",WillsSampler,100,40,4,31,0.9322781563
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=41.'] time: 1.2984089851379395",WillsSampler,100,40,4,41,1.298408985
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=51.'] time: 1.5621991157531738",WillsSampler,100,40,4,51,1.562199116
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=4.', 'cluster_centers=6.'] time: 0.24369096755981445",WillsSampler,100,40,4,6,0.2436909676
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=4.'] time: 0.7333419322967529",WillsSampler,100,40,4,0,0.7333419323
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=1.'] time: 0.1209108829498291",WillsSampler,100,40,8,1,0.1209108829
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=11.'] time: 0.38816213607788086",WillsSampler,100,40,8,11,0.3881621361
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=16.'] time: 0.5607089996337891",WillsSampler,100,40,8,16,0.5607089996
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=21.'] time: 0.6587800979614258",WillsSampler,100,40,8,21,0.658780098
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=31.'] time: 1.0138309001922607",WillsSampler,100,40,8,31,1.0138309
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=41.'] time: 1.2803659439086914",WillsSampler,100,40,8,41,1.280365944
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=51.'] time: 1.473848819732666",WillsSampler,100,40,8,51,1.47384882
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=8.', 'cluster_centers=6.'] time: 0.2385578155517578",WillsSampler,100,40,8,6,0.2385578156
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=8.'] time: 0.2714579105377197",WillsSampler,100,40,8,0,0.2714579105
"WillsSampler.w=100.['sample_size=40.', 'parallel_count=16.', 'cluster_centers=1.'] time: 0.10310220718383789",WillsSampler,100,40,16,1,0.1031022072
